Using selector: SelectSelector
{'logmessage': 'INFO', 'logdescription': 'Event detected from stripe webhook', 'severity': 1, 'timestamp': '2024-02-24 17:53:53', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'INFO', 'logdescription': 'Event detected from stripe webhook', 'severity': 1, 'timestamp': '2024-02-24 17:53:53', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'ERROR', 'logdescription': 'Caught error while processing stripe webhook', 'severity': 4, 'timestamp': '2024-02-24 17:53:53', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'ERROR', 'logdescription': 'Caught error while processing stripe webhook', 'severity': 4, 'timestamp': '2024-02-24 17:53:53', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'INFO', 'logdescription': 'Event detected from stripe webhook', 'severity': 1, 'timestamp': '2024-02-24 17:54:00', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'INFO', 'logdescription': 'Event detected from stripe webhook', 'severity': 1, 'timestamp': '2024-02-24 17:54:00', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'ERROR', 'logdescription': 'Caught error while processing stripe webhook', 'severity': 4, 'timestamp': '2024-02-24 17:54:00', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'ERROR', 'logdescription': 'Caught error while processing stripe webhook', 'severity': 4, 'timestamp': '2024-02-24 17:54:00', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'INFO', 'logdescription': 'Event detected from stripe webhook', 'severity': 1, 'timestamp': '2024-02-24 17:54:01', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'INFO', 'logdescription': 'Event detected from stripe webhook', 'severity': 1, 'timestamp': '2024-02-24 17:54:01', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'ERROR', 'logdescription': 'Caught error while processing stripe webhook', 'severity': 4, 'timestamp': '2024-02-24 17:54:01', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'ERROR', 'logdescription': 'Caught error while processing stripe webhook', 'severity': 4, 'timestamp': '2024-02-24 17:54:01', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'INFO', 'logdescription': 'Event detected from stripe webhook', 'severity': 1, 'timestamp': '2024-02-24 17:54:02', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'INFO', 'logdescription': 'Event detected from stripe webhook', 'severity': 1, 'timestamp': '2024-02-24 17:54:02', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'ERROR', 'logdescription': 'Caught error while processing stripe webhook', 'severity': 4, 'timestamp': '2024-02-24 17:54:02', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'ERROR', 'logdescription': 'Caught error while processing stripe webhook', 'severity': 4, 'timestamp': '2024-02-24 17:54:02', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
